anime_id,title
22135,Ping Pong the Animation
34591,Natsume Yuujinchou Roku
19647,Hajime no Ippo: Rising
51179,Mushoku Tensei II: Isekai Ittara Honki Dasu
50265,Spy x Family
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze
32983,Natsume Yuujinchou Go
28735,Shouwa Genroku Rakugo Shinjuu
44511,Chainsaw Man
10379,Natsume Yuujinchou San
33,Kenpuu Denki Berserk
7785,Yojouhan Shinwa Taikei
40417,Fruits Basket 2nd Season
5300,Zoku Natsume Yuujinchou
11741,Fate/Zero 2nd Season
170,Slam Dunk
40834,Ousama Ranking
16498,Shingeki no Kyojin
40776,Haikyuu!! To the Top Part 2
877,Nana
38474,Yuru Camp△ Season 2
30484,Steins;Gate 0
12365,Bakuman. 3rd Season
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG
35843,Gintama.: Porori-hen
35839,Sora yori mo Tooi Basho
205,Samurai Champloo
25777,Shingeki no Kyojin Season 2
37779,Yakusoku no Neverland
38000,Kimetsu no Yaiba
30276,One Punch Man
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai
47194,Summertime Render
32182,Mob Psycho 100
30654,Ansatsu Kyoushitsu 2nd Season
12431,Uchuu Kyoudai
3297,Aria the Origination
6114,Rainbow: Nisha Rokubou no Shichinin
36649,Banana Fish
37379,Chihayafuru 3
392,Yuu☆Yuu☆Hakusho
10165,Nichijou
40059,Golden Kamuy 3rd Season
31181,Owarimonogatari
50330,Bungou Stray Dogs 4th Season
20583,Haikyuu!!
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season
54595,Kage no Jitsuryokusha ni Naritakute! 2nd Season
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2
2246,Mononoke
37105,Grand Blue
34612,Saiki Kusuo no Ψ-nan 2
49721,Karakai Jouzu no Takagi-san 3
467,Koukaku Kidoutai: Stand Alone Complex
38889,Kono Oto Tomare! Part 2
136,Hunter x Hunter
33255,Saiki Kusuo no Ψ-nan
46095,Vivy: Fluorite Eye's Song
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
5028,Major S5
37965,Kaze ga Tsuyoku Fuiteiru
35557,Houseki no Kuni
49926,Kimetsu no Yaiba: Mugen Ressha-hen
39551,Tensei shitara Slime Datta Ken 2nd Season
5941,Cross Game
31646,3-gatsu no Lion
22789,Barakamon
14397,Chihayafuru 2
39808,Non Non Biyori Nonstop
2251,Baccano!
39535,Mushoku Tensei: Isekai Ittara Honki Dasu
9756,Mahou Shoujo Madoka★Magica
10162,Usagi Drop
41025,Fumetsu no Anata e
38883,Haikyuu!! To the Top
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan
30,Neon Genesis Evangelion
10030,Bakuman. 2nd Season
51552,Watashi no Shiawase na Kekkon
49918,Boku no Hero Academia 6th Season
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season
13601,Psycho-Pass
338,Versailles no Bara
51019,Kimetsu no Yaiba: Katanakaji no Sato-hen
22535,Kiseijuu: Sei no Kakuritsu
46654,IDOLiSH7 Third Beat! Part 2
39533,Given
41487,Tensei shitara Slime Datta Ken 2nd Season Part 2
5081,Bakemonogatari
5040,One Outs
2559,Romeo no Aoi Sora
185,Initial D First Stage
49596,Blue Lock
17389,Kingdom 2nd Season
28701,Fate/stay night: Unlimited Blade Works 2nd Season
48316,Kage no Jitsuryokusha ni Naritakute!
7655,Major S6
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
5420,Kemono no Souja Erin
1210,NHK ni Youkoso!
4081,Natsume Yuujinchou
5341,Ookami to Koushinryou II
12531,Sakamichi no Apollon
6594,Katanagatari
31043,Boku dake ga Inai Machi
24415,Kuroko no Basket 3rd Season
31988,Hibike! Euphonium 2
30230,Diamond no Ace: Second Season
50602,Spy x Family Part 2
38691,Dr. Stone
54112,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto
2402,Ashita no Joe
486,Kino no Tabi: The Beautiful World
39247,Kobayashi-san Chi no Maid Dragon S
45,Rurouni Kenshin: Meiji Kenkaku Romantan
57,Beck
25835,Shirobako
22507,Initial D Final Stage
52578,Boku no Kokoro no Yabai Yatsu
13125,Shinsekai yori
10087,Fate/Zero
41457,86
1698,Nodame Cantabile
44940,World Trigger 3rd Season
3002,Gyakkyou Burai Kaiji: Ultimate Survivor
43325,Yuukoku no Moriarty Part 2
34798,Yuru Camp△
19363,Gin no Saji 2nd Season
329,Planetes
23327,Space☆Dandy 2nd Season
38731,Diamond no Ace: Act II
1735,Naruto: Shippuuden
32937,Kono Subarashii Sekai ni Shukufuku wo! 2
10271,Gyakkyou Burai Kaiji: Hakairoku-hen
37520,Dororo
37989,Golden Kamuy 2nd Season
53111,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
11843,Danshi Koukousei no Nichijou
33051,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season
5690,Nodame Cantabile: Finale
48736,Sono Bisque Doll wa Koi wo Suru
31240,Re:Zero kara Hajimeru Isekai Seikatsu
53393,Tengoku Daimakyou
44055,Sasaki to Miyano
627,Major S1
1842,Major S3
54856,Horimiya: Piece
45577,IDOLiSH7 Third Beat!
2150,Tanoshii Muumin Ikka
2966,Ookami to Koushinryou
38680,Fruits Basket 1st Season
40052,Great Pretender
49052,Ao Ashi
6,Trigun
18115,Magi: The Kingdom of Magic
16894,Kuroko no Basket 2nd Season
38003,Bungou Stray Dogs 3rd Season
9863,SKET Dance
3091,xxxHOLiC◆Kei
35838,Shoujo Shuumatsu Ryokou
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku
25681,Kamisama Hajimemashita◎
6811,InuYasha: Kanketsu-hen
1142,Hachimitsu to Clover II
440,Shoujo Kakumei Utena
49114,Vanitas no Karte Part 2
40729,Nomad: Megalo Box 2
42897,Horimiya
3226,Major S4
50709,Lycoris Recoil
558,Major S2
7674,Bakuman.
32867,Bungou Stray Dogs 2nd Season
1453,Maison Ikkoku
22297,Fate/stay night: Unlimited Blade Works
32843,Senki Zesshou Symphogear XV
18195,Little Busters! Refrain
37171,Asobi Asobase
1889,Higurashi no Naku Koro ni Kai
23623,Non Non Biyori Repeat
34636,Ballroom e Youkoso
10800,Chihayafuru
7791,K-On!!
40852,Dr. Stone: Stone Wars
38481,Toaru Kagaku no Railgun T
962,Aria the Natural
235,Detective Conan
50380,Paripi Koumei
1519,Black Lagoon: The Second Barrage
40911,Yuukoku no Moriarty
48549,Dr. Stone: New World
232,Cardcaptor Sakura
813,Dragon Ball Z
853,Ouran Koukou Host Club
186,Initial D Second Stage
46569,Jigokuraku
18,Initial D Fourth Stage
50416,Skip to Loafer
30503,Noragami Aragoto
28171,Shokugeki no Souma
28223,Death Parade
37962,IDOLiSH7 Second Beat!
53411,Buddy Daddies
34572,Black Clover
11597,Nisemonogatari
3701,Kaiba
36296,Hinamatsuri (TV)
37430,Tensei shitara Slime Datta Ken
721,Princess Tutu
239,Gankutsuou
4477,Nodame Cantabile: Paris-hen
39592,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei
50528,Golden Kamuy 4th Season
1604,Katekyo Hitman Reborn!
35857,Lupin III: Part 5
1827,Seirei no Moribito
39792,Eizouken ni wa Te wo Dasu na!
51096,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season
18689,Diamond no Ace
30831,Kono Subarashii Sekai ni Shukufuku wo!
40815,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season
121,Fullmetal Alchemist
2581,Kidou Senshi Gundam 00
302,Mirai Shounen Conan
33486,Boku no Hero Academia 2nd Season
8129,Kuragehime
6746,Durarara!!
14713,Kamisama Hajimemashita
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
23283,Zankyou no Terror
24833,Ansatsu Kyoushitsu
339,Serial Experiments Lain
15059,Initial D Fifth Stage
28025,Tsukimonogatari
52826,Tsurune: Tsunagari no Issha
32282,Shokugeki no Souma: Ni no Sara
50796,Kimi wa Houkago Insomnia
16918,Gin no Saji
34076,Uchouten Kazoku 2
